scenario_id,read_ratio,payload_size_b,cardinality,nested_depth,working_set_ratio,query_selectivity,consistency_penalty_ms,index_coverage,join_fan_out
S00479,0.2,4096,10,3,0.9,0.5,5,full,50
S00480,0.2,4096,100,1,0.1,0.05,0,none,1
S00481,0.2,4096,100,1,0.1,0.05,0,none,10
S00482,0.2,4096,100,1,0.1,0.05,0,none,50
S00483,0.2,4096,100,1,0.1,0.05,0,full,1
S00484,0.2,4096,100,1,0.1,0.05,0,full,10
S00485,0.2,4096,100,1,0.1,0.05,0,full,50
S00486,0.2,4096,100,1,0.1,0.05,5,none,1
S00487,0.2,4096,100,1,0.1,0.05,5,none,10
S00488,0.2,4096,100,1,0.1,0.05,5,none,50
S00489,0.2,4096,100,1,0.1,0.05,5,full,1
S00490,0.2,4096,100,1,0.1,0.05,5,full,10
S00491,0.2,4096,100,1,0.1,0.05,5,full,50
S00492,0.2,4096,100,1,0.1,0.5,0,none,1
S00493,0.2,4096,100,1,0.1,0.5,0,none,10
S00494,0.2,4096,100,1,0.1,0.5,0,none,50
S00495,0.2,4096,100,1,0.1,0.5,0,full,1
S00496,0.2,4096,100,1,0.1,0.5,0,full,10
S00497,0.2,4096,100,1,0.1,0.5,0,full,50
S00498,0.2,4096,100,1,0.1,0.5,5,none,1
S00499,0.2,4096,100,1,0.1,0.5,5,none,10
S00500,0.2,4096,100,1,0.1,0.5,5,none,50
S00501,0.2,4096,100,1,0.1,0.5,5,full,1
S00502,0.2,4096,100,1,0.1,0.5,5,full,10
S00503,0.2,4096,100,1,0.1,0.5,5,full,50
S00504,0.2,4096,100,1,0.9,0.05,0,none,1
S00505,0.2,4096,100,1,0.9,0.05,0,none,10
S00506,0.2,4096,100,1,0.9,0.05,0,none,50
S00507,0.2,4096,100,1,0.9,0.05,0,full,1
S00508,0.2,4096,100,1,0.9,0.05,0,full,10
S00509,0.2,4096,100,1,0.9,0.05,0,full,50
S00510,0.2,4096,100,1,0.9,0.05,5,none,1
S00511,0.2,4096,100,1,0.9,0.05,5,none,10
S00512,0.2,4096,100,1,0.9,0.05,5,none,50
S00513,0.2,4096,100,1,0.9,0.05,5,full,1
S00514,0.2,4096,100,1,0.9,0.05,5,full,10
S00515,0.2,4096,100,1,0.9,0.05,5,full,50
S00516,0.2,4096,100,1,0.9,0.5,0,none,1
S00517,0.2,4096,100,1,0.9,0.5,0,none,10
S00518,0.2,4096,100,1,0.9,0.5,0,none,50
S00519,0.2,4096,100,1,0.9,0.5,0,full,1
S00520,0.2,4096,100,1,0.9,0.5,0,full,10
S00521,0.2,4096,100,1,0.9,0.5,0,full,50
S00522,0.2,4096,100,1,0.9,0.5,5,none,1
S00523,0.2,4096,100,1,0.9,0.5,5,none,10
S00524,0.2,4096,100,1,0.9,0.5,5,none,50
S00525,0.2,4096,100,1,0.9,0.5,5,full,1
S00526,0.2,4096,100,1,0.9,0.5,5,full,10
S00527,0.2,4096,100,1,0.9,0.5,5,full,50
S00528,0.2,4096,100,3,0.1,0.05,0,none,1
S00529,0.2,4096,100,3,0.1,0.05,0,none,10
S00530,0.2,4096,100,3,0.1,0.05,0,none,50
S00531,0.2,4096,100,3,0.1,0.05,0,full,1
S00532,0.2,4096,100,3,0.1,0.05,0,full,10
S00533,0.2,4096,100,3,0.1,0.05,0,full,50
S00534,0.2,4096,100,3,0.1,0.05,5,none,1
S00535,0.2,4096,100,3,0.1,0.05,5,none,10
S00536,0.2,4096,100,3,0.1,0.05,5,none,50
S00537,0.2,4096,100,3,0.1,0.05,5,full,1
S00538,0.2,4096,100,3,0.1,0.05,5,full,10
S00539,0.2,4096,100,3,0.1,0.05,5,full,50
S00540,0.2,4096,100,3,0.1,0.5,0,none,1
S00541,0.2,4096,100,3,0.1,0.5,0,none,10
S00542,0.2,4096,100,3,0.1,0.5,0,none,50
S00543,0.2,4096,100,3,0.1,0.5,0,full,1
S00544,0.2,4096,100,3,0.1,0.5,0,full,10
S00545,0.2,4096,100,3,0.1,0.5,0,full,50
S00546,0.2,4096,100,3,0.1,0.5,5,none,1
S00547,0.2,4096,100,3,0.1,0.5,5,none,10
S00548,0.2,4096,100,3,0.1,0.5,5,none,50
S00549,0.2,4096,100,3,0.1,0.5,5,full,1
S00550,0.2,4096,100,3,0.1,0.5,5,full,10
S00551,0.2,4096,100,3,0.1,0.5,5,full,50
S00552,0.2,4096,100,3,0.9,0.05,0,none,1
S00553,0.2,4096,100,3,0.9,0.05,0,none,10
S00554,0.2,4096,100,3,0.9,0.05,0,none,50
S00555,0.2,4096,100,3,0.9,0.05,0,full,1
S00556,0.2,4096,100,3,0.9,0.05,0,full,10
S00557,0.2,4096,100,3,0.9,0.05,0,full,50
S00558,0.2,4096,100,3,0.9,0.05,5,none,1
S00559,0.2,4096,100,3,0.9,0.05,5,none,10
S00560,0.2,4096,100,3,0.9,0.05,5,none,50
S00561,0.2,4096,100,3,0.9,0.05,5,full,1
S00562,0.2,4096,100,3,0.9,0.05,5,full,10
S00563,0.2,4096,100,3,0.9,0.05,5,full,50
S00564,0.2,4096,100,3,0.9,0.5,0,none,1
S00565,0.2,4096,100,3,0.9,0.5,0,none,10
S00566,0.2,4096,100,3,0.9,0.5,0,none,50
S00567,0.2,4096,100,3,0.9,0.5,0,full,1
S00568,0.2,4096,100,3,0.9,0.5,0,full,10
S00569,0.2,4096,100,3,0.9,0.5,0,full,50
S00570,0.2,4096,100,3,0.9,0.5,5,none,1
S00571,0.2,4096,100,3,0.9,0.5,5,none,10
S00572,0.2,4096,100,3,0.9,0.5,5,none,50
S00573,0.2,4096,100,3,0.9,0.5,5,full,1
S00574,0.2,4096,100,3,0.9,0.5,5,full,10
S00575,0.2,4096,100,3,0.9,0.5,5,full,50
S00576,0.2,4096,1000,1,0.1,0.05,0,none,1
S00577,0.2,4096,1000,1,0.1,0.05,0,none,10
S00578,0.2,4096,1000,1,0.1,0.05,0,none,50
S00579,0.2,4096,1000,1,0.1,0.05,0,full,1
S00580,0.2,4096,1000,1,0.1,0.05,0,full,10
S00581,0.2,4096,1000,1,0.1,0.05,0,full,50
S00582,0.2,4096,1000,1,0.1,0.05,5,none,1
S00583,0.2,4096,1000,1,0.1,0.05,5,none,10
S00584,0.2,4096,1000,1,0.1,0.05,5,none,50
S00585,0.2,4096,1000,1,0.1,0.05,5,full,1
S00586,0.2,4096,1000,1,0.1,0.05,5,full,10
S00587,0.2,4096,1000,1,0.1,0.05,5,full,50
S00588,0.2,4096,1000,1,0.1,0.5,0,none,1
S00589,0.2,4096,1000,1,0.1,0.5,0,none,10
S00590,0.2,4096,1000,1,0.1,0.5,0,none,50
S00591,0.2,4096,1000,1,0.1,0.5,0,full,1
S00592,0.2,4096,1000,1,0.1,0.5,0,full,10
S00593,0.2,4096,1000,1,0.1,0.5,0,full,50
S00594,0.2,4096,1000,1,0.1,0.5,5,none,1
S00595,0.2,4096,1000,1,0.1,0.5,5,none,10
S00596,0.2,4096,1000,1,0.1,0.5,5,none,50
S00597,0.2,4096,1000,1,0.1,0.5,5,full,1
S00598,0.2,4096,1000,1,0.1,0.5,5,full,10
S00599,0.2,4096,1000,1,0.1,0.5,5,full,50
S00600,0.2,4096,1000,1,0.9,0.05,0,none,1
S00601,0.2,4096,1000,1,0.9,0.05,0,none,10
S00602,0.2,4096,1000,1,0.9,0.05,0,none,50
S00603,0.2,4096,1000,1,0.9,0.05,0,full,1
S00604,0.2,4096,1000,1,0.9,0.05,0,full,10
S00605,0.2,4096,1000,1,0.9,0.05,0,full,50
S00606,0.2,4096,1000,1,0.9,0.05,5,none,1
S00607,0.2,4096,1000,1,0.9,0.05,5,none,10
S00608,0.2,4096,1000,1,0.9,0.05,5,none,50
S00609,0.2,4096,1000,1,0.9,0.05,5,full,1
S00610,0.2,4096,1000,1,0.9,0.05,5,full,10
S00611,0.2,4096,1000,1,0.9,0.05,5,full,50
S00612,0.2,4096,1000,1,0.9,0.5,0,none,1
S00613,0.2,4096,1000,1,0.9,0.5,0,none,10
S00614,0.2,4096,1000,1,0.9,0.5,0,none,50
S00615,0.2,4096,1000,1,0.9,0.5,0,full,1
S00616,0.2,4096,1000,1,0.9,0.5,0,full,10
S00617,0.2,4096,1000,1,0.9,0.5,0,full,50
S00618,0.2,4096,1000,1,0.9,0.5,5,none,1
S00619,0.2,4096,1000,1,0.9,0.5,5,none,10
S00620,0.2,4096,1000,1,0.9,0.5,5,none,50
S00621,0.2,4096,1000,1,0.9,0.5,5,full,1
S00622,0.2,4096,1000,1,0.9,0.5,5,full,10
S00623,0.2,4096,1000,1,0.9,0.5,5,full,50
S00624,0.2,4096,1000,3,0.1,0.05,0,none,1
S00625,0.2,4096,1000,3,0.1,0.05,0,none,10
S00626,0.2,4096,1000,3,0.1,0.05,0,none,50
S00627,0.2,4096,1000,3,0.1,0.05,0,full,1
S00628,0.2,4096,1000,3,0.1,0.05,0,full,10
S00629,0.2,4096,1000,3,0.1,0.05,0,full,50
S00630,0.2,4096,1000,3,0.1,0.05,5,none,1
S00631,0.2,4096,1000,3,0.1,0.05,5,none,10
S00632,0.2,4096,1000,3,0.1,0.05,5,none,50
S00633,0.2,4096,1000,3,0.1,0.05,5,full,1
S00634,0.2,4096,1000,3,0.1,0.05,5,full,10
S00635,0.2,4096,1000,3,0.1,0.05,5,full,50
S00636,0.2,4096,1000,3,0.1,0.5,0,none,1
S00637,0.2,4096,1000,3,0.1,0.5,0,none,10
S00638,0.2,4096,1000,3,0.1,0.5,0,none,50
S00639,0.2,4096,1000,3,0.1,0.5,0,full,1
S00640,0.2,4096,1000,3,0.1,0.5,0,full,10
S00641,0.2,4096,1000,3,0.1,0.5,0,full,50
S00642,0.2,4096,1000,3,0.1,0.5,5,none,1
S00643,0.2,4096,1000,3,0.1,0.5,5,none,10
S00644,0.2,4096,1000,3,0.1,0.5,5,none,50
S00645,0.2,4096,1000,3,0.1,0.5,5,full,1
S00646,0.2,4096,1000,3,0.1,0.5,5,full,10
S00647,0.2,4096,1000,3,0.1,0.5,5,full,50
S00648,0.2,4096,1000,3,0.9,0.05,0,none,1
S00649,0.2,4096,1000,3,0.9,0.05,0,none,10
S00650,0.2,4096,1000,3,0.9,0.05,0,none,50
S00651,0.2,4096,1000,3,0.9,0.05,0,full,1
S00652,0.2,4096,1000,3,0.9,0.05,0,full,10
S00653,0.2,4096,1000,3,0.9,0.05,0,full,50
S00654,0.2,4096,1000,3,0.9,0.05,5,none,1
S00655,0.2,4096,1000,3,0.9,0.05,5,none,10
S00656,0.2,4096,1000,3,0.9,0.05,5,none,50
S00657,0.2,4096,1000,3,0.9,0.05,5,full,1
S00658,0.2,4096,1000,3,0.9,0.05,5,full,10
S00659,0.2,4096,1000,3,0.9,0.05,5,full,50
S00660,0.2,4096,1000,3,0.9,0.5,0,none,1
S00661,0.2,4096,1000,3,0.9,0.5,0,none,10
S00662,0.2,4096,1000,3,0.9,0.5,0,none,50
S00663,0.2,4096,1000,3,0.9,0.5,0,full,1
S00664,0.2,4096,1000,3,0.9,0.5,0,full,10
S00665,0.2,4096,1000,3,0.9,0.5,0,full,50
S00666,0.2,4096,1000,3,0.9,0.5,5,none,1
S00667,0.2,4096,1000,3,0.9,0.5,5,none,10
S00668,0.2,4096,1000,3,0.9,0.5,5,none,50
S00669,0.2,4096,1000,3,0.9,0.5,5,full,1
S00670,0.2,4096,1000,3,0.9,0.5,5,full,10
S00671,0.2,4096,1000,3,0.9,0.5,5,full,50
S00672,0.2,4096,5000,1,0.1,0.05,0,none,1
S00673,0.2,4096,5000,1,0.1,0.05,0,none,10
S00674,0.2,4096,5000,1,0.1,0.05,0,none,50
S00675,0.2,4096,5000,1,0.1,0.05,0,full,1
S00676,0.2,4096,5000,1,0.1,0.05,0,full,10
S00677,0.2,4096,5000,1,0.1,0.05,0,full,50
S00678,0.2,4096,5000,1,0.1,0.05,5,none,1
S00679,0.2,4096,5000,1,0.1,0.05,5,none,10
S00680,0.2,4096,5000,1,0.1,0.05,5,none,50
S00681,0.2,4096,5000,1,0.1,0.05,5,full,1
S00682,0.2,4096,5000,1,0.1,0.05,5,full,10
S00683,0.2,4096,5000,1,0.1,0.05,5,full,50
S00684,0.2,4096,5000,1,0.1,0.5,0,none,1
S00685,0.2,4096,5000,1,0.1,0.5,0,none,10
S00686,0.2,4096,5000,1,0.1,0.5,0,none,50
S00687,0.2,4096,5000,1,0.1,0.5,0,full,1
S00688,0.2,4096,5000,1,0.1,0.5,0,full,10
S00689,0.2,4096,5000,1,0.1,0.5,0,full,50
S00690,0.2,4096,5000,1,0.1,0.5,5,none,1
S00691,0.2,4096,5000,1,0.1,0.5,5,none,10
S00692,0.2,4096,5000,1,0.1,0.5,5,none,50
S00693,0.2,4096,5000,1,0.1,0.5,5,full,1
S00694,0.2,4096,5000,1,0.1,0.5,5,full,10
S00695,0.2,4096,5000,1,0.1,0.5,5,full,50
S00696,0.2,4096,5000,1,0.9,0.05,0,none,1
S00697,0.2,4096,5000,1,0.9,0.05,0,none,10
S00698,0.2,4096,5000,1,0.9,0.05,0,none,50
S00699,0.2,4096,5000,1,0.9,0.05,0,full,1
S00700,0.2,4096,5000,1,0.9,0.05,0,full,10
S00701,0.2,4096,5000,1,0.9,0.05,0,full,50
S00702,0.2,4096,5000,1,0.9,0.05,5,none,1
S00703,0.2,4096,5000,1,0.9,0.05,5,none,10
S00704,0.2,4096,5000,1,0.9,0.05,5,none,50
S00705,0.2,4096,5000,1,0.9,0.05,5,full,1
S00706,0.2,4096,5000,1,0.9,0.05,5,full,10
S00707,0.2,4096,5000,1,0.9,0.05,5,full,50
S00708,0.2,4096,5000,1,0.9,0.5,0,none,1
S00709,0.2,4096,5000,1,0.9,0.5,0,none,10
S00710,0.2,4096,5000,1,0.9,0.5,0,none,50
S00711,0.2,4096,5000,1,0.9,0.5,0,full,1
S00712,0.2,4096,5000,1,0.9,0.5,0,full,10
S00713,0.2,4096,5000,1,0.9,0.5,0,full,50
S00714,0.2,4096,5000,1,0.9,0.5,5,none,1
S00715,0.2,4096,5000,1,0.9,0.5,5,none,10
S00716,0.2,4096,5000,1,0.9,0.5,5,none,50
S00717,0.2,4096,5000,1,0.9,0.5,5,full,1
S00718,0.2,4096,5000,1,0.9,0.5,5,full,10
S00719,0.2,4096,5000,1,0.9,0.5,5,full,50
S00720,0.2,4096,5000,3,0.1,0.05,0,none,1
S00721,0.2,4096,5000,3,0.1,0.05,0,none,10
S00722,0.2,4096,5000,3,0.1,0.05,0,none,50
S00723,0.2,4096,5000,3,0.1,0.05,0,full,1
S00724,0.2,4096,5000,3,0.1,0.05,0,full,10
S00725,0.2,4096,5000,3,0.1,0.05,0,full,50
S00726,0.2,4096,5000,3,0.1,0.05,5,none,1
S00727,0.2,4096,5000,3,0.1,0.05,5,none,10
S00728,0.2,4096,5000,3,0.1,0.05,5,none,50
S00729,0.2,4096,5000,3,0.1,0.05,5,full,1
S00730,0.2,4096,5000,3,0.1,0.05,5,full,10
S00731,0.2,4096,5000,3,0.1,0.05,5,full,50
S00732,0.2,4096,5000,3,0.1,0.5,0,none,1
S00733,0.2,4096,5000,3,0.1,0.5,0,none,10
S00734,0.2,4096,5000,3,0.1,0.5,0,none,50
S00735,0.2,4096,5000,3,0.1,0.5,0,full,1
S00736,0.2,4096,5000,3,0.1,0.5,0,full,10
S00737,0.2,4096,5000,3,0.1,0.5,0,full,50
S00738,0.2,4096,5000,3,0.1,0.5,5,none,1
S00739,0.2,4096,5000,3,0.1,0.5,5,none,10
S00740,0.2,4096,5000,3,0.1,0.5,5,none,50
S00741,0.2,4096,5000,3,0.1,0.5,5,full,1
S00742,0.2,4096,5000,3,0.1,0.5,5,full,10
S00743,0.2,4096,5000,3,0.1,0.5,5,full,50
S00744,0.2,4096,5000,3,0.9,0.05,0,none,1
S00745,0.2,4096,5000,3,0.9,0.05,0,none,10
S00746,0.2,4096,5000,3,0.9,0.05,0,none,50
S00747,0.2,4096,5000,3,0.9,0.05,0,full,1
S00748,0.2,4096,5000,3,0.9,0.05,0,full,10
S00749,0.2,4096,5000,3,0.9,0.05,0,full,50
S00750,0.2,4096,5000,3,0.9,0.05,5,none,1
S00751,0.2,4096,5000,3,0.9,0.05,5,none,10
S00752,0.2,4096,5000,3,0.9,0.05,5,none,50
S00753,0.2,4096,5000,3,0.9,0.05,5,full,1
S00754,0.2,4096,5000,3,0.9,0.05,5,full,10
S00755,0.2,4096,5000,3,0.9,0.05,5,full,50
S00756,0.2,4096,5000,3,0.9,0.5,0,none,1
S00757,0.2,4096,5000,3,0.9,0.5,0,none,10
S00758,0.2,4096,5000,3,0.9,0.5,0,none,50
S00759,0.2,4096,5000,3,0.9,0.5,0,full,1
S00760,0.2,4096,5000,3,0.9,0.5,0,full,10
S00761,0.2,4096,5000,3,0.9,0.5,0,full,50
S00762,0.2,4096,5000,3,0.9,0.5,5,none,1
S00763,0.2,4096,5000,3,0.9,0.5,5,none,10
S00764,0.2,4096,5000,3,0.9,0.5,5,none,50
S00765,0.2,4096,5000,3,0.9,0.5,5,full,1
S00766,0.2,4096,5000,3,0.9,0.5,5,full,10
S00767,0.2,4096,5000,3,0.9,0.5,5,full,50
S00768,0.2,65536,10,1,0.1,0.05,0,none,1
S00769,0.2,65536,10,1,0.1,0.05,0,none,10
S00770,0.2,65536,10,1,0.1,0.05,0,none,50
S00771,0.2,65536,10,1,0.1,0.05,0,full,1
S00772,0.2,65536,10,1,0.1,0.05,0,full,10
S00773,0.2,65536,10,1,0.1,0.05,0,full,50
S00774,0.2,65536,10,1,0.1,0.05,5,none,1
S00775,0.2,65536,10,1,0.1,0.05,5,none,10
S00776,0.2,65536,10,1,0.1,0.05,5,none,50
S00777,0.2,65536,10,1,0.1,0.05,5,full,1
S00778,0.2,65536,10,1,0.1,0.05,5,full,10
S00779,0.2,65536,10,1,0.1,0.05,5,full,50
S00780,0.2,65536,10,1,0.1,0.5,0,none,1
S00781,0.2,65536,10,1,0.1,0.5,0,none,10
S00782,0.2,65536,10,1,0.1,0.5,0,none,50
S00783,0.2,65536,10,1,0.1,0.5,0,full,1
S00784,0.2,65536,10,1,0.1,0.5,0,full,10
S00785,0.2,65536,10,1,0.1,0.5,0,full,50
S00786,0.2,65536,10,1,0.1,0.5,5,none,1
S00787,0.2,65536,10,1,0.1,0.5,5,none,10
S00788,0.2,65536,10,1,0.1,0.5,5,none,50
S00789,0.2,65536,10,1,0.1,0.5,5,full,1
S00790,0.2,65536,10,1,0.1,0.5,5,full,10
S00791,0.2,65536,10,1,0.1,0.5,5,full,50
S00792,0.2,65536,10,1,0.9,0.05,0,none,1
S00793,0.2,65536,10,1,0.9,0.05,0,none,10
S00794,0.2,65536,10,1,0.9,0.05,0,none,50
S00795,0.2,65536,10,1,0.9,0.05,0,full,1
S00796,0.2,65536,10,1,0.9,0.05,0,full,10
S00797,0.2,65536,10,1,0.9,0.05,0,full,50
S00798,0.2,65536,10,1,0.9,0.05,5,none,1
S00799,0.2,65536,10,1,0.9,0.05,5,none,10
S00800,0.2,65536,10,1,0.9,0.05,5,none,50
S00801,0.2,65536,10,1,0.9,0.05,5,full,1
S00802,0.2,65536,10,1,0.9,0.05,5,full,10
S00803,0.2,65536,10,1,0.9,0.05,5,full,50
S00804,0.2,65536,10,1,0.9,0.5,0,none,1
S00805,0.2,65536,10,1,0.9,0.5,0,none,10
S00806,0.2,65536,10,1,0.9,0.5,0,none,50
S00807,0.2,65536,10,1,0.9,0.5,0,full,1
S00808,0.2,65536,10,1,0.9,0.5,0,full,10
S00809,0.2,65536,10,1,0.9,0.5,0,full,50
S00810,0.2,65536,10,1,0.9,0.5,5,none,1
S00811,0.2,65536,10,1,0.9,0.5,5,none,10
S00812,0.2,65536,10,1,0.9,0.5,5,none,50
S00813,0.2,65536,10,1,0.9,0.5,5,full,1
S00814,0.2,65536,10,1,0.9,0.5,5,full,10
S00815,0.2,65536,10,1,0.9,0.5,5,full,50
S00816,0.2,65536,10,3,0.1,0.05,0,none,1
S00817,0.2,65536,10,3,0.1,0.05,0,none,10
S00818,0.2,65536,10,3,0.1,0.05,0,none,50
S00819,0.2,65536,10,3,0.1,0.05,0,full,1
S00820,0.2,65536,10,3,0.1,0.05,0,full,10
S00821,0.2,65536,10,3,0.1,0.05,0,full,50
S00822,0.2,65536,10,3,0.1,0.05,5,none,1
S00823,0.2,65536,10,3,0.1,0.05,5,none,10
S00824,0.2,65536,10,3,0.1,0.05,5,none,50
S00825,0.2,65536,10,3,0.1,0.05,5,full,1
S00826,0.2,65536,10,3,0.1,0.05,5,full,10
S00827,0.2,65536,10,3,0.1,0.05,5,full,50
S00828,0.2,65536,10,3,0.1,0.5,0,none,1
S00829,0.2,65536,10,3,0.1,0.5,0,none,10
S00830,0.2,65536,10,3,0.1,0.5,0,none,50
S00831,0.2,65536,10,3,0.1,0.5,0,full,1
S00832,0.2,65536,10,3,0.1,0.5,0,full,10
S00833,0.2,65536,10,3,0.1,0.5,0,full,50
S00834,0.2,65536,10,3,0.1,0.5,5,none,1
S00835,0.2,65536,10,3,0.1,0.5,5,none,10
S00836,0.2,65536,10,3,0.1,0.5,5,none,50
S00837,0.2,65536,10,3,0.1,0.5,5,full,1
S00838,0.2,65536,10,3,0.1,0.5,5,full,10
S00839,0.2,65536,10,3,0.1,0.5,5,full,50
S00840,0.2,65536,10,3,0.9,0.05,0,none,1
S00841,0.2,65536,10,3,0.9,0.05,0,none,10
S00842,0.2,65536,10,3,0.9,0.05,0,none,50
S00843,0.2,65536,10,3,0.9,0.05,0,full,1
S00844,0.2,65536,10,3,0.9,0.05,0,full,10
S00845,0.2,65536,10,3,0.9,0.05,0,full,50
S00846,0.2,65536,10,3,0.9,0.05,5,none,1
S00847,0.2,65536,10,3,0.9,0.05,5,none,10
S00848,0.2,65536,10,3,0.9,0.05,5,none,50
S00849,0.2,65536,10,3,0.9,0.05,5,full,1
S00850,0.2,65536,10,3,0.9,0.05,5,full,10
S00851,0.2,65536,10,3,0.9,0.05,5,full,50
S00852,0.2,65536,10,3,0.9,0.5,0,none,1
S00853,0.2,65536,10,3,0.9,0.5,0,none,10
S00854,0.2,65536,10,3,0.9,0.5,0,none,50
S00855,0.2,65536,10,3,0.9,0.5,0,full,1
S00856,0.2,65536,10,3,0.9,0.5,0,full,10
S00857,0.2,65536,10,3,0.9,0.5,0,full,50
S00858,0.2,65536,10,3,0.9,0.5,5,none,1
S00859,0.2,65536,10,3,0.9,0.5,5,none,10
S00860,0.2,65536,10,3,0.9,0.5,5,none,50
S00861,0.2,65536,10,3,0.9,0.5,5,full,1
S00862,0.2,65536,10,3,0.9,0.5,5,full,10
S00863,0.2,65536,10,3,0.9,0.5,5,full,50
S00864,0.2,65536,100,1,0.1,0.05,0,none,1
S00865,0.2,65536,100,1,0.1,0.05,0,none,10
S00866,0.2,65536,100,1,0.1,0.05,0,none,50
S00867,0.2,65536,100,1,0.1,0.05,0,full,1
S00868,0.2,65536,100,1,0.1,0.05,0,full,10
S00869,0.2,65536,100,1,0.1,0.05,0,full,50
S00870,0.2,65536,100,1,0.1,0.05,5,none,1
S00871,0.2,65536,100,1,0.1,0.05,5,none,10
S00872,0.2,65536,100,1,0.1,0.05,5,none,50
S00873,0.2,65536,100,1,0.1,0.05,5,full,1
S00874,0.2,65536,100,1,0.1,0.05,5,full,10
S00875,0.2,65536,100,1,0.1,0.05,5,full,50
S00876,0.2,65536,100,1,0.1,0.5,0,none,1
S00877,0.2,65536,100,1,0.1,0.5,0,none,10
S00878,0.2,65536,100,1,0.1,0.5,0,none,50
S00879,0.2,65536,100,1,0.1,0.5,0,full,1
S00880,0.2,65536,100,1,0.1,0.5,0,full,10
S00881,0.2,65536,100,1,0.1,0.5,0,full,50
S00882,0.2,65536,100,1,0.1,0.5,5,none,1
S00883,0.2,65536,100,1,0.1,0.5,5,none,10
S00884,0.2,65536,100,1,0.1,0.5,5,none,50
S00885,0.2,65536,100,1,0.1,0.5,5,full,1
S00886,0.2,65536,100,1,0.1,0.5,5,full,10
S00887,0.2,65536,100,1,0.1,0.5,5,full,50
S00888,0.2,65536,100,1,0.9,0.05,0,none,1
S00889,0.2,65536,100,1,0.9,0.05,0,none,10
S00890,0.2,65536,100,1,0.9,0.05,0,none,50
S00891,0.2,65536,100,1,0.9,0.05,0,full,1
S00892,0.2,65536,100,1,0.9,0.05,0,full,10
S00893,0.2,65536,100,1,0.9,0.05,0,full,50
S00894,0.2,65536,100,1,0.9,0.05,5,none,1
S00895,0.2,65536,100,1,0.9,0.05,5,none,10
S00896,0.2,65536,100,1,0.9,0.05,5,none,50
S00897,0.2,65536,100,1,0.9,0.05,5,full,1
S00898,0.2,65536,100,1,0.9,0.05,5,full,10
S00899,0.2,65536,100,1,0.9,0.05,5,full,50
S00900,0.2,65536,100,1,0.9,0.5,0,none,1
S00901,0.2,65536,100,1,0.9,0.5,0,none,10
S00902,0.2,65536,100,1,0.9,0.5,0,none,50
S00903,0.2,65536,100,1,0.9,0.5,0,full,1
S00904,0.2,65536,100,1,0.9,0.5,0,full,10
S00905,0.2,65536,100,1,0.9,0.5,0,full,50
S00906,0.2,65536,100,1,0.9,0.5,5,none,1
S00907,0.2,65536,100,1,0.9,0.5,5,none,10
S00908,0.2,65536,100,1,0.9,0.5,5,none,50
S00909,0.2,65536,100,1,0.9,0.5,5,full,1
S00910,0.2,65536,100,1,0.9,0.5,5,full,10
S00911,0.2,65536,100,1,0.9,0.5,5,full,50
S00912,0.2,65536,100,3,0.1,0.05,0,none,1
S00913,0.2,65536,100,3,0.1,0.05,0,none,10
S00914,0.2,65536,100,3,0.1,0.05,0,none,50
S00915,0.2,65536,100,3,0.1,0.05,0,full,1
S00916,0.2,65536,100,3,0.1,0.05,0,full,10
S00917,0.2,65536,100,3,0.1,0.05,0,full,50
S00918,0.2,65536,100,3,0.1,0.05,5,none,1
S00919,0.2,65536,100,3,0.1,0.05,5,none,10
S00920,0.2,65536,100,3,0.1,0.05,5,none,50
S00921,0.2,65536,100,3,0.1,0.05,5,full,1
S00922,0.2,65536,100,3,0.1,0.05,5,full,10
S00923,0.2,65536,100,3,0.1,0.05,5,full,50
S00924,0.2,65536,100,3,0.1,0.5,0,none,1
S00925,0.2,65536,100,3,0.1,0.5,0,none,10
S00926,0.2,65536,100,3,0.1,0.5,0,none,50
S00927,0.2,65536,100,3,0.1,0.5,0,full,1
S00928,0.2,65536,100,3,0.1,0.5,0,full,10
S00929,0.2,65536,100,3,0.1,0.5,0,full,50
S00930,0.2,65536,100,3,0.1,0.5,5,none,1
S00931,0.2,65536,100,3,0.1,0.5,5,none,10
S00932,0.2,65536,100,3,0.1,0.5,5,none,50
S00933,0.2,65536,100,3,0.1,0.5,5,full,1
S00934,0.2,65536,100,3,0.1,0.5,5,full,10
S00935,0.2,65536,100,3,0.1,0.5,5,full,50
S00936,0.2,65536,100,3,0.9,0.05,0,none,1
S00937,0.2,65536,100,3,0.9,0.05,0,none,10
S00938,0.2,65536,100,3,0.9,0.05,0,none,50
S00939,0.2,65536,100,3,0.9,0.05,0,full,1
S00940,0.2,65536,100,3,0.9,0.05,0,full,10
S00941,0.2,65536,100,3,0.9,0.05,0,full,50
S00942,0.2,65536,100,3,0.9,0.05,5,none,1
S00943,0.2,65536,100,3,0.9,0.05,5,none,10
S00944,0.2,65536,100,3,0.9,0.05,5,none,50
S00945,0.2,65536,100,3,0.9,0.05,5,full,1
S00946,0.2,65536,100,3,0.9,0.05,5,full,10
S00947,0.2,65536,100,3,0.9,0.05,5,full,50
S00948,0.2,65536,100,3,0.9,0.5,0,none,1
S00949,0.2,65536,100,3,0.9,0.5,0,none,10
S00950,0.2,65536,100,3,0.9,0.5,0,none,50
S00951,0.2,65536,100,3,0.9,0.5,0,full,1
